Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,112.209999,114.300003,111.870003,113.449997,107.524002,74285300
2015-09-21,113.669998,115.370003,113.660004,115.209999,109.192062,50222000
2015-09-22,113.379997,114.180000,112.519997,113.400002,107.476608,50346200
2015-09-23,113.629997,114.720001,113.300003,114.320000,108.348557,35756700
2015-09-24,113.250000,115.500000,112.370003,115.000000,108.993042,50219500
2015-09-25,116.440002,116.690002,114.019997,114.709999,108.718178,56151900
2015-09-28,113.849998,114.570000,112.440002,112.440002,106.566750,52109000
2015-09-29,112.830002,113.510002,107.860001,109.059998,103.363312,73365400
2015-09-30,110.169998,111.540001,108.730003,110.300003,104.538551,66473000
2015-10-01,109.070000,109.620003,107.309998,109.580002,103.856148,63929100
2015-10-02,108.010002,111.010002,107.550003,110.379997,104.614357,58019800
2015-10-05,109.879997,111.370003,109.070000,110.779999,104.993469,52064700
2015-10-06,110.629997,111.739998,109.769997,111.309998,105.495781,48196800
2015-10-07,111.739998,111.769997,109.410004,110.779999,104.993469,46765600
2015-10-08,110.190002,110.190002,108.209999,109.500000,103.780327,61979600
2015-10-09,110.000000,112.279999,109.489998,112.120003,106.263466,52766100
2015-10-12,112.730003,112.750000,111.440002,111.599998,105.770630,30467200
2015-10-13,110.820000,112.449997,110.680000,111.790001,105.950699,33049300
2015-10-14,111.290001,111.519997,109.559998,110.209999,104.453232,44462400
2015-10-15,110.930000,112.099998,110.489998,111.860001,106.017059,37673500
2015-10-16,111.779999,112.000000,110.529999,111.040001,105.239891,39232600
2015-10-19,110.800003,111.750000,110.110001,111.730003,105.893852,29759200
2015-10-20,111.339996,114.169998,110.820000,113.769997,107.827286,48778800
2015-10-21,114.000000,115.580002,113.699997,113.760002,107.817802,41795200
2015-10-22,114.330002,115.500000,114.099998,115.500000,109.466919,41654100
2015-10-23,116.699997,119.230003,116.330002,119.080002,112.859917,59366900
2015-10-26,118.080002,118.129997,114.919998,115.279999,109.258415,66333800
2015-10-27,115.400002,116.540001,113.989998,114.550003,108.566544,69884400
2015-10-28,116.930000,119.300003,116.059998,119.269997,113.039986,85551400
2015-10-29,118.699997,120.690002,118.269997,120.529999,114.234177,51227300
2015-10-30,120.989998,121.220001,119.449997,119.500000,113.257980,49365300
2015-11-02,120.800003,121.360001,119.610001,121.180000,114.850227,32203300
2015-11-03,120.790001,123.489998,120.699997,122.570000,116.167610,45519000
2015-11-04,123.129997,123.820000,121.620003,122.000000,115.627396,44886100
2015-11-05,121.849998,122.690002,120.180000,120.919998,115.094368,39552700
2015-11-06,121.110001,121.809998,120.620003,121.059998,115.227623,33042300
2015-11-09,120.959999,121.809998,120.050003,120.570000,114.761238,33871400
2015-11-10,116.900002,118.070000,116.059998,116.769997,111.144302,59127900
2015-11-11,116.370003,117.419998,115.209999,116.110001,110.516113,45218000
2015-11-12,116.260002,116.820000,115.650002,115.720001,110.144890,32525600
2015-11-13,115.199997,115.570000,112.269997,112.339996,106.927734,45812400
2015-11-16,111.379997,114.239998,111.000000,114.180000,108.679085,38106700
2015-11-17,114.919998,115.050003,113.320000,113.690002,108.212700,27616900
2015-11-18,115.760002,117.489998,115.500000,117.290001,111.639236,46674700
